"Player"	"Streak"	"RafflesWon"	"RafflesJoined"	"ExpectedRafflesWon"	"CoinsWon"	"ExpectedCoinsWon"
"Buddyretar"	"0"	"0"	"0"	"0"	"0"	"0"
"hellonasty"	"0"	"0"	"0"	"0"	"0"	"0"
"ShadowPlay"	"0"	"0"	"0"	"0"	"0"	"0"
"mlahayne"	"0"	"0"	"0"	"0"	"0"	"0"
"Teeveekirb"	"0"	"0"	"3"	"0,325"	"0"	"1,4500000000000002"
"borticfan"	"0"	"0"	"1"	"0,1"	"0"	"0,30000000000000004"
"Sarasked"	"0"	"0"	"1"	"0,07692307692307693"	"0"	"4,307692307692308"
"AllHailRei"	"1"	"1"	"3"	"0,2986111111111111"	"52"	"4,583333333333333"
"Testahment"	"0"	"0"	"1"	"0,06666666666666667"	"0"	"0,3333333333333333"
"‎"	"0"	"0"	"1"	"0,16666666666666666"	"0"	"0,6666666666666666"
"TanBart202"	"0"	"0"	"2"	"0,1625"	"0"	"3,95"
"FrancisBar"	"1"	"1"	"1"	"0,1"	"7"	"0,7000000000000001"
"Schoenie"	"0"	"0"	"2"	"0,18181818181818182"	"0"	"1"
"EttCG"	"0"	"0"	"0"	"0"	"0"	"0"
"StormBring"	"0"	"0"	"0"	"0"	"0"	"0"
"General DR"	"1"	"2"	"9"	"1,117038517038517"	"5"	"4,422566322566323"
"Bubba Gump"	"0"	"0"	"7"	"0,7420995670995671"	"0"	"3,969264069264069"
"Sull"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,6363636363636364"
"oDxPopcorn"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,25"
"Rank 1 Pla"	"0"	"0"	"0"	"0"	"0"	"0"
"radioprima"	"0"	"0"	"0"	"0"	"0"	"0"
"AustinC"	"0"	"0"	"0"	"0"	"0"	"0"
"CapnFn"	"0"	"0"	"0"	"0"	"0"	"0"
"Bum"	"0"	"0"	"0"	"0"	"0"	"0"
"Darknight"	"0"	"0"	"6"	"0,6072510822510823"	"0"	"3,1354978354978353"
"TheAvernum"	"0"	"0"	"0"	"0"	"0"	"0"
"Joack"	"2"	"4"	"21"	"3,8697112527994886"	"69"	"50,78117601352895"
"{CZ-SK} si"	"2"	"9"	"27"	"3,4857253857253867"	"44"	"21,95448162948163"
"Morg'th N "	"2"	"74"	"494"	"69,26632044426186"	"519"	"482,0259465207993"
"Master kil"	"1"	"1"	"12"	"1,6076839826839824"	"4"	"12,163095238095236"
"pirtuzogno"	"2"	"258"	"1779"	"285,08860651903854"	"2076"	"2092,4342925504193"
"Justin"	"2"	"14"	"120"	"13,649896345484574"	"171"	"84,75951972863733"
"yyy"	"0"	"0"	"0"	"0"	"0"	"0"
"yoylecake"	"1"	"1"	"1"	"0,25"	"4"	"1"
"GhostlyDoc"	"1"	"1"	"2"	"0,4444444444444444"	"5"	"2,2222222222222223"
"tswkelbris"	"1"	"2"	"22"	"3,209163059163059"	"9"	"15,771536796536795"
"Ertugal"	"0"	"0"	"2"	"0,20192307692307693"	"0"	"1,2115384615384617"
"Schmidtste"	"0"	"0"	"0"	"0"	"0"	"0"
"Bombarpt"	"1"	"1"	"3"	"0,28525641025641024"	"3"	"1,3365384615384617"
"Uncle Ben"	"1"	"4"	"23"	"3,1249750249750257"	"85"	"44,466358641358646"
"CptCurious"	"0"	"0"	"1"	"0,16666666666666666"	"0"	"1"
"�"	"1"	"1"	"6"	"0,7103535353535353"	"3"	"3,4156565656565654"
"Pots"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,6666666666666666"
"Chrisromef"	"2"	"9"	"65"	"6,855126246302717"	"96"	"60,91404796184208"
"Blank"	"0"	"0"	"1"	"0,2"	"0"	"0,6000000000000001"
"Arthur Gor"	"0"	"0"	"2"	"0,2909090909090909"	"0"	"1,2545454545454546"
"FDavillar"	"1"	"3"	"43"	"5,3371896077778445"	"14"	"37,64391311303076"
"Shinataro "	"1"	"1"	"2"	"0,23376623376623376"	"4"	"1,2207792207792207"
"AAA"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,8571428571428571"
"sarastro"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,5555555555555556"
"Prester Jo"	"1"	"1"	"11"	"1,4873376623376624"	"5"	"7,422005772005772"
"LND"	"1"	"5"	"33"	"4,8452741702741715"	"72"	"68,05891053391052"
"Viridinter"	"0"	"0"	"4"	"0,35049019607843135"	"0"	"2,2284313725490197"
"Crino"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,7777777777777777"
"Bessie Smi"	"0"	"0"	"1"	"0,125"	"0"	"0,5"
"Ønslaught"	"1"	"6"	"24"	"3,8594950800833154"	"28"	"19,644361847303024"
"Hugge"	"1"	"3"	"30"	"3,6386516261516264"	"17"	"22,99539765789766"
"Triple E"	"0"	"0"	"1"	"0,07142857142857142"	"0"	"0,42857142857142855"
"Naydog"	"1"	"1"	"1"	"0,07142857142857142"	"6"	"0,42857142857142855"
"zombies li"	"0"	"0"	"1"	"0,16666666666666666"	"0"	"0,8333333333333333"
"El P"	"1"	"2"	"8"	"1,0547979797979798"	"11"	"5,242171717171717"
"Orison"	"1"	"4"	"25"	"3,8981240981240983"	"20"	"35,52867965367965"
"Douglas"	"1"	"1"	"4"	"0,625"	"6"	"3,5"
"JoeL"	"0"	"0"	"0"	"0"	"0"	"0"
"Reichtangl"	"1"	"1"	"3"	"0,24444444444444444"	"5"	"1,088888888888889"
"Stic726"	"0"	"0"	"17"	"1,9287087912087915"	"0"	"21,570131257631257"
"JAA"	"0"	"0"	"2"	"0,17142857142857143"	"0"	"0,9"
"nonono"	"1"	"1"	"2"	"0,25"	"6"	"1,5"
"Noritaka R"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,6666666666666666"
"D"	"1"	"2"	"8"	"1,0211691086691088"	"14"	"5,230647130647131"
"Yoshiro Wa"	"0"	"0"	"1"	"0,2"	"0"	"1,2000000000000002"
"Arthuros"	"0"	"0"	"2"	"0,14583333333333331"	"0"	"0,8541666666666666"
"Oklahoman "	"0"	"0"	"1"	"0,0625"	"0"	"0,4375"
"maors"	"0"	"0"	"0"	"0"	"0"	"0"
"Ripley"	"0"	"0"	"0"	"0"	"0"	"0"
"Zooropa"	"1"	"13"	"102"	"14,988669663669658"	"113"	"115,81397907647907"
"Monika"	"0"	"0"	"1"	"0,2"	"0"	"1,2000000000000002"
"beluga32"	"0"	"0"	"0"	"0"	"0"	"0"
"Johnny Cat"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,41666666666666663"
"Living Leg"	"0"	"0"	"1"	"0,0625"	"0"	"0,4375"
"48955"	"0"	"0"	"4"	"0,46904761904761905"	"0"	"2,345238095238095"
"Ammaren"	"0"	"0"	"1"	"0,06666666666666667"	"0"	"0,3333333333333333"
"Jeff Trait"	"0"	"0"	"7"	"0,8913419913419914"	"0"	"4,980952380952381"
"The-Equest"	"0"	"0"	"2"	"0,325"	"0"	"1,375"
"Bookwyrm21"	"0"	"0"	"4"	"0,30608974358974356"	"0"	"5,655448717948718"
"BK"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,7142857142857142"
"Irishlord"	"1"	"2"	"9"	"1,1635642135642135"	"6"	"5,274062049062049"
"Jem"	"0"	"0"	"0"	"0"	"0"	"0"
"kenobi"	"1"	"1"	"1"	"0,09090909090909091"	"5"	"0,4545454545454546"
"gren"	"0"	"0"	"2"	"0,2361111111111111"	"0"	"1,3055555555555556"
"pinky"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,8571428571428571"
"Sneezy"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,5454545454545454"
"French.G.I"	"0"	"0"	"1"	"0,16666666666666666"	"0"	"0,6666666666666666"
"mclwhmr2"	"4"	"301"	"1968"	"296,95055720423153"	"1975"	"2218,675633190343"
"stinky che"	"0"	"0"	"0"	"0"	"0"	"0"
"j"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"1"
"ChrisRomef"	"1"	"22"	"238"	"31,685261682761677"	"213"	"252,34102591852587"
"Birdman"	"0"	"0"	"0"	"0"	"0"	"0"
"bsquared"	"0"	"0"	"1"	"0,1"	"0"	"0,7000000000000001"
"UnitedNati"	"0"	"0"	"9"	"0,807936507936508"	"0"	"10,909126984126983"
"JuliusCaes"	"1"	"3"	"41"	"5,192864488452723"	"13"	"32,103448022565665"
"danta"	"0"	"0"	"0"	"0"	"0"	"0"
"Buddha [NL"	"0"	"0"	"7"	"0,7524531024531025"	"0"	"3,509740259740259"
"chicken sh"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"5,166666666666666"
"The Royali"	"1"	"9"	"49"	"5,9915306915306905"	"149"	"42,89749417249418"
"Huu"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,2727272727272727"
